competition,year,phase,date,time,home_team,home_score,away_score,away_team,venue
"BAFA National Leagues","2025","SFC 1 EAST",2025-04-27,14:00,"Essex Tridents","9","12","Kent Exiles",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-27,14:00,"London Blitz B","27","14","Portsmouth Dreadnoughts",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-04-27,14:00,"Sussex Thunder","14","6","Berkshire Renegades",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-04-27,14:00,"Somerset Wyverns","0","39","South Wales Warriors",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-04-27,14:00,"Lincolnshire Bombers","3","34","Leicester Panthers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-04-27,14:00,"Oxford Saints","24","9","Ipswich Cardinals",""
"BAFA National Leagues","2025","",2025-05-03,16:00,"Nottingham Caesars","28","12","East Kilbride Pirates",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-05-04,15:00,"Coventry Phoenix","9","7","Manchester Titans",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-04,14:00,"London Warriors","24","13","Bristol Aztecs",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-04,14:30,"Rushmoor Knights","14","9","Hertfordshire Cheetahs",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-05-04,14:00,"Clyde Valley Blackhawks","6","23","Inverclyde Goliaths",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-04,14:00,"Yorkshire Rams","32","21","Scunthorpe Alphas",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-04,15:30,"Northants Knights","20","3","Staffordshire Surge",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-04,14:00,"East Kent Mavericks","31","16","Colchester Gladiators",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-04,14:00,"Kent Exiles","12","15","London Olympians",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-05-04,13:00,"South Wales Warriors","18","17","Solent Thrashers",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-05-04,14:00,"Doncaster Mustangs","0","49","Humber Warhawks",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-05-04,14:00,"Wakefield District Raiders","18","13","Darlington Steam",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-05-04,14:00,"Leigh Miners","18","35","Lancashire Buccaneers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-05-04,14:00,"Oxford Saints","26","6","Ouse Valley Eagles",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-05-04,14:00,"Cornwall Monarchs","7","16","Plymouth Vanguard",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-05-04,14:00,"Hereford Stampede","35","6","Swindon Storm",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-05-11,16:00,"Newcastle Vikings","0","66","Manchester Titans",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-11,14:00,"Cambridgeshire Cats","0","35","Rushmoor Knights",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-11,15:00,"Hertfordshire Cheetahs","0","45","London Blitz",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-05-11,14:00,"Glasgow Tigers","36","0","Clyde Valley Blackhawks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-11,11:00,"Sheffield Giants","13","31","Chester Romans",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-11,14:00,"Scunthorpe Alphas","50","21","Merseyside Nighthawks",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-11,14:00,"Staffordshire Surge","21","12","Northants Knights",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-11,15:00,"Shropshire Revolution","13","13","Sandwell Steelers",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-11,14:00,"Essex Tridents","5","42","East Kent Mavericks",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-05-11,14:00,"Wembley Stallions","60","0","Sussex Thunder",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-05-11,12:00,"Solent Thrashers","Cancelled
C","C","Bournemouth Bobcats",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-05-11,12:00,"Gateshead Senators","52","24","Darlington Steam",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-05-11,14:00,"Lancashire Buccaneers","0","38","Leicester Panthers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-05-11,14:00,"Ipswich Cardinals","9","18","Oxford Saints",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-05-11,14:00,"Ouse Valley Eagles","18","6","Norwich Devils",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-05-11,14:00,"Swindon Storm","19","14","Hereford Stampede",""
"BAFA National Leagues","2025","",2025-05-17,15:00,"Manchester Titans","36","7","East Kilbride Pirates",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-18,14:00,"London Blitz","7","20","Bristol Aztecs",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-05-18,14:00,"London Warriors","50","7","Hertfordshire Cheetahs",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-05-18,14:00,"Inverclyde Goliaths","50","12","Aberdeen Roughnecks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-18,14:00,"Chester Romans","25","7","Sheffield Giants",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-18,14:00,"Merseyside Nighthawks","0","28","Yorkshire Rams",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-18,14:00,"Sandwell Steelers","31","0","Birmingham Bulls",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-18,14:00,"Kent Exiles","0","26","Colchester Gladiators",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-05-18,14:00,"Berkshire Renegades","0","24","Sussex Thunder",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-05-18,14:00,"Wembley Stallions","59","12","London Blitz B",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-05-18,14:00,"South Wales Warriors","9","7","Bristol Apache",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-05-18,14:00,"Humber Warhawks","1","0","Doncaster Mustangs",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-05-18,14:00,"Lincolnshire Bombers","35","14","Leigh Miners",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-05-18,14:00,"Ipswich Cardinals","20","15","Ouse Valley Eagles",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-05-25,14:30,"Glasgow Tigers","49","12","Rossendale Bucks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-05-25,14:00,"Sheffield Giants","12","48","Scunthorpe Alphas",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-25,14:00,"Northants Knights","0","39","Birmingham Bulls",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-05-25,14:00,"Staffordshire Surge","27","0","Shropshire Revolution",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-25,14:00,"East Kent Mavericks","29","0","Kent Exiles",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-05-25,14:00,"Essex Tridents","6","20","London Olympians",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-05-25,12:00,"Portsmouth Dreadnoughts","6","35","Wembley Stallions",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-05-25,14:00,"Bristol Apache","24","22","Bournemouth Bobcats",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-05-25,14:00,"South Wales Warriors","38","0","Somerset Wyverns",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-05-25,14:00,"Darlington Steam","0","36","Humber Warhawks",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-05-25,14:00,"Norwich Devils","16","13","Oxford Saints",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-05-25,14:00,"Cornwall Monarchs","43","34","Hereford Stampede",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-05-25,14:00,"Swindon Storm","16","0","Plymouth Vanguard",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-01,12:00,"Nottingham Caesars","2","17","Manchester Titans",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-01,14:00,"Coventry Phoenix","19","0","Newcastle Vikings",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-01,15:00,"Hertfordshire Cheetahs","10","8","Cambridgeshire Cats",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-01,15:00,"Rushmoor Knights","6","41","London Blitz",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-06-01,14:00,"Inverclyde Goliaths","34","6","Clyde Valley Blackhawks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-06-01,14:00,"Yorkshire Rams","26","6","Merseyside Nighthawks",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-06-01,15:30,"Northants Knights","14","14","Sandwell Steelers",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-01,14:00,"Kent Exiles","14","14","Essex Tridents",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-01,14:00,"London Olympians","0","0","Colchester Gladiators",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-01,12:00,"Portsmouth Dreadnoughts","44","0","Berkshire Renegades",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-01,14:00,"Sussex Thunder","18","26","London Blitz B",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-01,14:00,"Bristol Apache","15","17","Solent Thrashers",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-06-01,14:00,"Wakefield District Raiders","6","43","Gateshead Senators",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-06-01,14:00,"Leicester Panthers","50","0","Lincolnshire Bombers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-06-01,14:00,"Ouse Valley Eagles","15","20","Ipswich Cardinals",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-06-01,14:00,"Plymouth Vanguard","25","35","Hereford Stampede",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-07,17:00,"Bristol Aztecs","48","13","Cambridgeshire Cats",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-07,17:00,"Bournemouth Bobcats","3","20","Solent Thrashers",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-08,14:00,"Coventry Phoenix","28","28","East Kilbride Pirates",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-08,15:00,"Manchester Titans","27","0","Nottingham Caesars",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-08,14:00,"Hertfordshire Cheetahs","0","58","London Warriors",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-08,14:00,"London Blitz","39","3","Rushmoor Knights",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-06-08,14:00,"Aberdeen Roughnecks","0","87","Glasgow Tigers",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-06-08,12:00,"Birmingham Bulls","34","32","Shropshire Revolution",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-08,14:00,"Essex Tridents","0","26","Colchester Gladiators",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-08,14:00,"Berkshire Renegades","0","46","Wembley Stallions",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-08,14:00,"London Blitz B","26","12","Sussex Thunder",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-06-08,14:00,"Darlington Steam","14","18","Wakefield District Raiders",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-06-08,14:00,"Leicester Panthers","26","7","Lancashire Buccaneers",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-06-08,14:00,"Lincolnshire Bombers","31","6","Leigh Miners",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-06-08,14:00,"Norwich Devils","6","29","Ipswich Cardinals",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-06-08,14:00,"Ouse Valley Eagles","0","13","Oxford Saints",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-06-08,14:00,"Cornwall Monarchs","22","19","Swindon Storm",""
"BAFA National Leagues","2025","",2025-06-14,17:00,"Bristol Aztecs","24","26","London Blitz",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-15,15:00,"Newcastle Vikings","0","44","East Kilbride Pirates",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-15,14:00,"London Warriors","43","0","Rushmoor Knights",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-06-15,14:00,"Inverclyde Goliaths","12","19","Glasgow Tigers",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-06-15,14:00,"Merseyside Nighthawks","7","32","Scunthorpe Alphas",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-06-15,14:00,"Northants Knights","34","9","Shropshire Revolution",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-06-15,14:00,"Staffordshire Surge","0","0","Birmingham Bulls",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-15,14:00,"Kent Exiles","29","40","East Kent Mavericks",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-15,14:00,"Wembley Stallions","56","0","Portsmouth Dreadnoughts",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-15,14:00,"Bournemouth Bobcats","3","6","South Wales Warriors",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-15,14:00,"Bristol Apache","35","0","Somerset Wyverns",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-06-15,14:00,"Doncaster Mustangs","21","40","Gateshead Senators",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-06-15,14:00,"Lancashire Buccaneers","40","0","Leigh Miners",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-06-15,14:00,"Oxford Saints","13","6","Norwich Devils",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-06-15,14:00,"Hereford Stampede","37","12","Plymouth Vanguard",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-22,12:00,"Nottingham Caesars","3","24","Coventry Phoenix",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-06-22,15:00,"Manchester Titans","Home walkover
H","W","Newcastle Vikings",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-22,14:00,"London Warriors","40","0","London Blitz",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-22,14:30,"Rushmoor Knights","30","6","Cambridgeshire Cats",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-06-22,15:00,"Hertfordshire Cheetahs","6","43","Bristol Aztecs",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-06-22,14:00,"Aberdeen Roughnecks","0","26","Clyde Valley Blackhawks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-06-22,14:00,"Merseyside Nighthawks","14","0","Chester Romans",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-06-22,14:00,"Staffordshire Surge","0","17","Sandwell Steelers",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-22,14:00,"Colchester Gladiators","18","23","East Kent Mavericks",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-22,14:00,"London Olympians","37","3","Essex Tridents",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-22,14:00,"Berkshire Renegades","0","41","London Blitz B",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-22,14:00,"Sussex Thunder","18","50","Portsmouth Dreadnoughts",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-22,14:00,"Bristol Apache","14","0","South Wales Warriors",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-22,14:00,"Somerset Wyverns","0","49","Solent Thrashers",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-06-22,14:00,"Darlington Steam","48","27","Doncaster Mustangs",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-06-22,14:00,"Wakefield District Raiders","16","40","Humber Warhawks",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-06-22,14:00,"Hereford Stampede","66","42","Cornwall Monarchs",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-06-29,16:00,"Glasgow Tigers","34","26","Inverclyde Goliaths",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-06-29,14:00,"Scunthorpe Alphas","53","6","Chester Romans",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-06-29,14:00,"Sheffield Giants","0","42","Yorkshire Rams",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-06-29,12:00,"Shropshire Revolution","Cancelled
C","C","Northants Knights",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-06-29,14:00,"Colchester Gladiators","13","6","Essex Tridents",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-29,12:00,"Portsmouth Dreadnoughts","28","17","London Blitz B",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-06-29,14:00,"Wembley Stallions","65","0","Berkshire Renegades",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-06-29,14:00,"Bournemouth Bobcats","22","0","Bristol Apache",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-06-29,14:00,"Gateshead Senators","26","47","Humber Warhawks",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-06-29,14:00,"Lancashire Buccaneers","0","36","Leicester Panthers",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-06-29,14:00,"Leigh Miners","0","17","Lincolnshire Bombers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-06-29,14:00,"Ipswich Cardinals","7","29","Oxford Saints",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-06-29,14:00,"Ouse Valley Eagles","32","0","Norwich Devils",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-06-29,14:00,"Plymouth Vanguard","16","47","Cornwall Monarchs",""
"BAFA National Leagues","2025","",2025-07-05,17:00,"Bristol Aztecs","67","0","Hertfordshire Cheetahs",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-07-06,16:00,"East Kilbride Pirates","32","0","Newcastle Vikings",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-07-06,14:00,"London Warriors","79","10","Cambridgeshire Cats",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-07-06,14:00,"Clyde Valley Blackhawks","26","0","Aberdeen Roughnecks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-07-06,14:00,"Chester Romans","10","29","Merseyside Nighthawks",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-07-06,14:00,"Scunthorpe Alphas","35","0","Sheffield Giants",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-07-06,12:00,"Birmingham Bulls","22","26","Sandwell Steelers",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-07-06,12:00,"Shropshire Revolution","27","13","Staffordshire Surge",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-07-06,14:00,"East Kent Mavericks","41","7","Essex Tridents",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-07-06,14:00,"London Olympians","15","8","Kent Exiles",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-07-06,12:00,"Solent Thrashers","64","7","Somerset Wyverns",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-07-06,13:00,"Gateshead Senators","28","20","Wakefield District Raiders",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-07-06,14:00,"Doncaster Mustangs","20","28","Darlington Steam",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-07-06,14:00,"Leicester Panthers","57","0","Leigh Miners",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-07-06,14:00,"Cornwall Monarchs","7","9","Swindon Storm",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-07-06,14:00,"Hereford Stampede","19","14","Plymouth Vanguard",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-07-19,17:00,"Bristol Aztecs","57","7","Rushmoor Knights",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-07-19,14:00,"Inverclyde Goliaths","","","Rossendale Bucks","Inverclyde 2026"
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-07-20,14:00,"Coventry Phoenix","10","6","Nottingham Caesars",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-07-20,15:30,"East Kilbride Pirates","6","12","Manchester Titans",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-07-20,14:00,"Cambridgeshire Cats","19","9","Hertfordshire Cheetahs",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-07-20,14:00,"London Blitz","13","24","London Warriors",""
"BAFA National Leagues","2025","NFC 1 SCOTTISH",2025-07-20,14:00,"Clyde Valley Blackhawks","0","47","Glasgow Tigers",""
"BAFA National Leagues","2025","NFC 1 NORTH",2025-07-20,14:00,"Yorkshire Rams","49","6","Sheffield Giants",""
"BAFA National Leagues","2025","NFC 1 MIDLANDS",2025-07-20,14:00,"Sandwell Steelers","10","6","Northants Knights",""
