competition,year,phase,date,time,home_team,home_score,away_score,away_team,venue
"BAFA National Leagues","2025","SFC 1 EAST",2025-07-20,14:00,"Colchester Gladiators","24","18","Kent Exiles",""
"BAFA National Leagues","2025","SFC 1 EAST",2025-07-20,14:00,"London Olympians","15","8","East Kent Mavericks",""
"BAFA National Leagues","2025","SFC 1 CENTRAL",2025-07-20,12:00,"Portsmouth Dreadnoughts","50","3","Sussex Thunder",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-07-20,12:00,"Solent Thrashers","33","7","South Wales Warriors",""
"BAFA National Leagues","2025","SFC 1 WEST",2025-07-20,14:00,"Somerset Wyverns","0","20","Bournemouth Bobcats",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-07-20,14:00,"Doncaster Mustangs","10","28","Wakefield District Raiders",""
"BAFA National Leagues","2025","NFC 2 NORTH",2025-07-20,14:00,"Humber Warhawks","24","0","Gateshead Senators",""
"BAFA National Leagues","2025","NFC 2 MIDLANDS",2025-07-20,14:00,"Lancashire Buccaneers","34","6","Lincolnshire Bombers",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-07-20,14:00,"Ipswich Cardinals","24","0","Norwich Devils",""
"BAFA National Leagues","2025","SFC 2 EAST",2025-07-20,14:00,"Oxford Saints","15","17","Ouse Valley Eagles",""
"BAFA National Leagues","2025","SFC 2 WEST",2025-07-20,14:00,"Swindon Storm","13","16","Cornwall Monarchs",""
"BAFA National Leagues","2025","",2025-07-27,12:00,"Solent Thrashers","44","8","Portsmouth Dreadnoughts",""
"BAFA National Leagues","2025","",2025-07-27,14:00,"Berkshire Renegades","4","37","Essex Tridents",""
"BAFA National Leagues","2025","",2025-07-27,14:00,"Hereford Stampede","33","20","Ipswich Cardinals",""
"BAFA National Leagues","2025","",2025-07-27,14:00,"Leicester Panthers","63","0","Gateshead Senators",""
"BAFA National Leagues","2025","",2025-07-27,14:00,"London Olympians","18","0","South Wales Warriors",""
"BAFA National Leagues","2025","",2025-07-27,14:00,"Oxford Saints","33","28","Cornwall Monarchs",""
"BAFA National Leagues","2025","",2025-07-27,14:00,"Sandwell Steelers","","","Merseyside Nighthawks","Black Country 2026"
"BAFA National Leagues","2025","",2025-07-27,14:00,"Scunthorpe Alphas","34","7","Northants Knights",""
"BAFA National Leagues","2025","",2025-07-27,16:00,"Humber Warhawks","5","26","Lancashire Buccaneers",""
"BAFA National Leagues","2025","",2025-08-03,14:00,"East Kent Mavericks","","","London Olympians","East Kent 2026"
"BAFA National Leagues","2025","",2025-08-03,14:00,"Glasgow Tigers","23","35","Scunthorpe Alphas",""
"BAFA National Leagues","2025","",2025-08-03,14:00,"Wembley Stallions","48","19","Solent Thrashers",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-08-09,15:00,"Manchester Titans","37","6","Coventry Phoenix",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-08-09,17:00,"Bristol Aztecs","24","24","London Warriors",""
"BAFA National Leagues","2025","PREMIERSHIP NORTH",2025-08-10,15:00,"Newcastle Vikings","6","44","Nottingham Caesars",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-08-10,14:00,"Cambridgeshire Cats","3","46","London Blitz",""
"BAFA National Leagues","2025","PREMIERSHIP SOUTH",2025-08-10,14:00,"Hertfordshire Cheetahs","7","23","Rushmoor Knights",""
"BAFA National Leagues","2025","",2025-08-17,14:00,"Berkshire Renegades","0","28","Oxford Saints",""
"BAFA National Leagues","2025","",2025-08-17,14:00,"Birmingham Bulls","8","49","Leicester Panthers",""
"BAFA National Leagues","2025","",2025-08-17,14:00,"Scunthorpe Alphas","6","21","Merseyside Nighthawks",""
"BAFA National Leagues","2025","",2025-08-17,14:00,"Somerset Wyverns","7","17","Hereford Stampede",""
"BAFA National Leagues","2025","",2025-08-17,14:00,"Wembley Stallions","14","11","East Kent Mavericks",""
"BAFA National Leagues","2025","",2025-08-23,14:00,"Manchester Titans","28","38","Bristol Aztecs",""
"BAFA National Leagues","2025","",2025-08-24,14:00,"London Warriors","41","0","Coventry Phoenix",""
"BAFA National Leagues","2025","",2025-08-31,14:00,"Hertfordshire Cheetahs","7","53","Wembley Stallions",""
"BAFA National Leagues","2025","",2025-08-31,14:00,"Sheffield Giants","20","8","Lancashire Buccaneers","Final Score - not approved
Updated 256 days ago"
