competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-04-20,Wembley Stallions,London Blitz B,35,6,Finsbury Park,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-04-20,Bristol Apache,Solent Thrashers,20,48,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-04-20,Bournemouth Bobcats,South Wales Warriors,0,8,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-04-20,Doncaster Mustangs,Gateshead Senators,17,54,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-04-20,Lincolnshire Bombers,Leicester Panthers,0,43,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-04-20,Lancashire Buccaneers,Leigh Miners,48,14,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-04-20,Ouse Valley Eagles,Norwich Devils,30,14,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 WEST,2025-04-20,Swindon Storm,Plymouth Vanguard,14,13,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-04-26,Coventry Phoenix,Newcastle Vikings,17,10,,,,,FALSE,day,,17:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-04-27,London Warriors,Cambridgeshire Cats,58,6,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 SCOTTISH,2025-04-27,Clyde Valley Blackhawks,Rossendale Bucks,26,20,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-04-27,Sheffield Giants,Merseyside Nighthawks,10,33,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 NORTH,2025-04-27,Chester Romans,Yorkshire Rams,0,40,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-04-27,Staffordshire Surge,Birmingham Bulls,29,14,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-04-27,Shropshire Revolution,Sandwell Steelers,0,18,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-04-27,London Olympians,Colchester Gladiators,12,3,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-04-27,Kent Exiles,Essex Tridents,12,9,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
