competition,year,phase,date,time,date_precision,date_display,away_team,home_team,away_score,home_score,status,venue,notes,away_coach,home_coach,is_double_header,is_playoff,confidence_level
buafl,2018,1A Midlands,2018-11-04,,day,,Loughborough Students,Leicester Longhorns,17,14,completed,,,,,,,high
buafl,2018,1A South West,2018-11-04,,day,,Plymouth Blitz,Cardiff Cobras,0,41,completed,,,,,,,high
buafl,2018,1A South,2018-11-04,,day,,Brunel Burners,Surrey Stingers,20,8,completed,,,,,,,high
buafl,2018,1A South,2018-11-04,,day,,Reading Knights,Kingston Cougars,21,6,completed,,,,,,,high
buafl,2018,1A South East,2018-11-04,,day,,Imperial Immortals,Kent Falcons,0,78,completed,,,,,,,high
buafl,2018,1A South East,2018-11-04,,day,,QMBL Vipers,UEA Pirates,15,39,completed,,,,,,,high
buafl,2018,2A Borders,2018-11-04,,day,,York Centurions,Teesside Cougars,18,12,completed,,Overtime,,,,,high
buafl,2018,2A North,2019-02-03,,day,,Lancaster Bombers,Bangor MudDogs,8,0,completed,,,,,,,high
buafl,2018,2A South West,2018-11-04,,day,,Gloucestershire Gladiators,OBU Panthers,14,25,completed,,,,,,,high
buafl,2018,2A South West,2018-11-04,,day,,Bristol Barracuda,Solent Redhawks,13,12,completed,,,,,,,high
buafl,2018,2A South,2018-11-04,,day,,Sussex Saxons,Royal Holloway Bears,6,2,completed,,,,,,,high
buafl,2018,2A South,2018-11-04,,day,,KCL Regents,Greenwich Mariners,24,0,completed,,,,,,,high
buafl,2018,Premiership South,2018-11-10,,day,,UWE Bullets,Birmingham Lions,34,40,completed,,,,,,,high
buafl,2018,Premiership South,2018-11-10,,day,,Swansea Titans,Portsmouth Destroyers,20,0,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-11-10,,day,,Manchester Tyrants,UCLan Rams,15,44,completed,,,,,,,high
buafl,2018,2A North,2018-11-10,,day,,Liverpool Raptors,Leeds Gryphons,6,21,completed,,,,,,,high
buafl,2018,Premiership North,2018-11-11,,day,,Leeds Beckett Carnegie,Nottingham Gold,8,9,completed,,,,,,,high
buafl,2018,1A North,2018-11-11,,day,,Hull Sharks,Edinburgh Napier Knights,0,15,completed,,,,,,,high
buafl,2018,1A North,2018-11-11,,day,,Northumbria Mustangs,Glasgow Tigers,42,6,completed,,,,,,,high
buafl,2018,1A Midlands,2018-11-11,,day,,Coventry Jets,Nottingham Trent Renegades,26,28,completed,,,,,,,high
buafl,2018,1A Midlands,2018-11-11,,day,,Warwick Wolves,Loughborough Students,9,34,completed,,,,,,,high
buafl,2018,1A South West,2018-11-11,,day,,Plymouth Blitz,Southampton Stags,12,65,completed,,,,,,,high
buafl,2018,1A South West,2018-11-11,,day,,Exeter Demons,Bath Killer Bees,9,0,completed,,,,,,,high
buafl,2018,1A South,2018-11-11,,day,,Surrey Stingers,Kingston Cougars,9,2,completed,,,,,,,high
buafl,2018,1A South East,2018-11-11,,day,,UEA Pirates,Imperial Immortals,48,0,completed,,,,,,,high
buafl,2018,1A South East,2018-11-11,,day,,Kent Falcons,Canterbury Chargers,21,12,completed,,,,,,,high
buafl,2018,2A Borders,2018-11-11,,day,,HWU Wolverines,UWS Pyros,49,10,completed,,,,,,,high
buafl,2018,2A North,2018-11-11,,day,,Edge Hill Vikings,Bangor MudDogs,7,6,completed,,,,,,,high
buafl,2018,2A Midlands,2018-11-11,,day,,Chester Legion,Keele Crusaders,0,3,completed,,Overtime,,,,,high
buafl,2018,2A Midlands,2018-11-04,,day,,DMU Falcons,Huddersfield Hawks,8,12,completed,,,,,,,high
buafl,2018,2A South West,2018-11-11,,day,,Bath Spa Bulldogs,OBU Panthers,0,53,completed,,,,,,,high
buafl,2018,2A South West,2018-11-11,,day,,Oxford Lancers,Worcester Royals,27,34,completed,,,,,,,high
buafl,2018,2A South,2018-11-11,,day,,Greenwich Mariners,BNU Buccaneers,40,0,completed,,,,,,,high
buafl,2018,2A South East,2018-11-11,,day,,Essex Blades,Cambridge Pythons,21,6,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-12-16,,day,,LJMU Fury,UCLan Rams,43,46,completed,,,,,,,high
buafl,2018,Premiership North,2018-11-18,,day,,Derby Braves,Durham Saints,0,43,completed,,,,,,,high
buafl,2018,Premiership South,2018-11-18,,day,,UWE Bullets,Hertfordshire Hurricanes,20,14,completed,,,,,,,high
buafl,2018,1A North,2018-11-18,,day,,Edinburgh Napier Knights,Northumbria Mustangs,6,9,completed,,,,,,,high
buafl,2018,1A Yorks/Lancs,2018-11-18,,day,,Sheffield Sabres,Manchester Tyrants,46,25,completed,,,,,,,high
buafl,2018,1A Midlands,2018-11-18,,day,,Leicester Longhorns,Coventry Jets,14,25,completed,,,,,,,high
buafl,2018,1A South West,2018-11-18,,day,,Cardiff Cobras,Southampton Stags,29,31,completed,,,,,,,high
buafl,2018,1A South East,2018-11-18,,day,,Canterbury Chargers,QMBL Vipers,0,9,completed,,,,,,,high
buafl,2018,2A Borders,2018-11-18,,day,,Edinburgh Predators,Sunderland Spartans,32,6,completed,,,,,,,high
buafl,2018,2A Borders,2018-11-18,,day,,HWU Wolverines,YSJ Jaguars,16,8,completed,,,,,,,high
buafl,2018,2A Borders,2018-12-09,,day,,York Centurions,UWS Pyros,18,2,completed,,,,,,,high
buafl,2018,2A North,2018-11-18,,day,,Bradford Bears,Tarannau Aberystwyth,12,3,completed,,,,,,,high
buafl,2018,2A North,2018-11-18,,day,,Bangor MudDogs,Liverpool Raptors,0,41,completed,,,,,,,high
buafl,2018,2A North,2018-11-18,,day,,Leeds Gryphons,Lancaster Bombers,44,0,completed,,,,,,,high
buafl,2018,2A Midlands,2018-11-18,,day,,MMU Eagles,Staffordshire Stallions,13,12,completed,,,,,,,high
buafl,2018,2A Midlands,2018-11-18,,day,,Chester Legion,Lincoln Colonials,0,39,completed,,,,,,,high
buafl,2018,2A South West,2018-11-18,,day,,Oxford Lancers,Bristol Barracuda,31,35,completed,,,,,,,high
buafl,2018,2A South West,2018-11-18,,day,,Worcester Royals,Bath Spa Bulldogs,77,0,completed,,,,,,,high
buafl,2018,2A South West,2018-11-18,,day,,Solent Redhawks,Gloucestershire Gladiators,21,6,completed,,,,,,,high
buafl,2018,2A South,2018-11-18,,day,,UCL Emperors,Chichester Spitfires,6,12,completed,,Double Overtime,,,,,high
buafl,2018,2A South,2018-11-18,,day,,Sussex Saxons,KCL Regents,11,6,completed,,,,,,,high
