competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2015,Division 1 Midlands,2015-10-31,Warwick Wolves,Nottingham Trent Renegades,12,24,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 London,2015-10-31,UEL Phoenix,Westminster Dragons,14,20,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-10-31,Chichester Spitfires,Brunel Burners,0,0,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Eastern,2015-10-31,Canterbury CC Chargers,Anglia Ruskin Siege,0,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-10-31,Loughborough Students,Sheffield Hallam Warriors,30,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-10-31,Derby Braves,Stirling Clansmen,20,21,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-10-31,Hertfordshire Hurricanes,Kingston Cougars,13,26,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-10-31,Imperial Immortals,Birmingham Lions,0,47,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Scottish/Northern,2015-10-31,Lancaster Bombers,Glasgow Tigers,0,36,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Scottish/Northern,2015-10-31,Sunderland Spartans,Northumbria Mustangs,24,23,,,,,FALSE,day,,14:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Scottish/Northern,2015-10-31,Edinburgh Napier Knights,Teesside Cougars,12,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Southern,2015-10-31,KCL Regents,Solent Redhawks,0,22,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Western,2015-10-31,Tarannau Aberystwyth,Exeter Demons,0,54,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Western,2015-10-31,Swansea Titans,UWE Bullets,27,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Yorkshire,2015-10-31,Leeds Beckett Carnegie,UCLan Rams,6,30,,,,,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Midlands,2015-11-14,Nottingham Trent Renegades,Nottingham Gold,26,20,,,,,FALSE,day,,19:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Midlands,2015-11-15,Warwick Wolves,Worcester Royals,27,19,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 London,2015-11-15,Greenwich Mariners,City Wolfpack,12,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 London,2015-11-15,Westminster Dragons,LSBU Spartans,0,26,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-11-15,Brunel Burners,Portsmouth Destroyers,6,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-11-15,BNU Buccaneers,Southampton Stags,6,65,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Eastern,2015-11-15,Oxford Brookes University,Oxford Lancers,12,13,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Eastern,2015-11-15,Canterbury CC Chargers,Essex Blades,16,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Western,2015-11-15,Gloucestershire Gladiators,Bristol Barracuda,30,8,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Western,2015-11-15,Bath Spa Bulldogs,Plymouth Blitz,0,46,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-15,Manchester Tyrants,MMU Eagles,29,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-11-15,Loughborough Students,Derby Braves,16,18,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-11-15,Durham Saints,Stirling Clansmen,28,30,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-11-15,Bath Killer Bees,Kingston Cougars,19,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Scottish/Northern,2015-11-15,Lancaster Bombers,Northumbria Mustangs,0,44,,,,,FALSE,day,,14:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Scottish/Northern,2015-11-15,Teesside Cougars,Edinburgh Predators,0,26,,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Southern,2015-11-15,Solent Redhawks,Surrey Stingers,6,24,,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Eastern,2015-11-15,Cambridge Pythons,Sussex Saxons,6,30,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Eastern,2015-11-15,Kent Falcons,UEA Pirates,8,16,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Western,2015-11-15,UWE Bullets,Tarannau Aberystwyth,18,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Western,2015-11-15,Exeter Demons,Cardiff Cobras,0,34,,,,,FALSE,day,,15:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Yorkshire,2015-11-15,UCLan Rams,Hull Sharks,29,22,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Yorkshire,2015-11-15,Huddersfield Hawks,Sheffield Sabres,12,40,,,,,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Midlands,2015-11-22,Nottingham Trent Renegades,Warwick Wolves,12,16,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 London,2015-11-22,City Wolfpack,Westminster Dragons,28,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-11-22,Chichester Spitfires,Southampton Stags,27,20,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-11-22,BNU Buccaneers,Brunel Burners,7,44,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Eastern,2015-11-22,Anglia Ruskin Siege,Oxford Brookes University,1,0,,,,,FALSE,day,,13:00,awarded,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Eastern,2015-11-22,Oxford Lancers,Canterbury CC Chargers,0,0,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 South Western,2015-11-22,Bournemouth University Bobcats,Gloucestershire Gladiators,0,25,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Midlands,2015-11-22,Lincoln Colonials,Leicester Longhorns,14,6,,,,,FALSE,day,,10:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-22,Edge Hill Vikings,Liverpool Raptors,19,35,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-22,MMU Eagles,York Centurions,0,34,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-22,Leeds Gryphons,Manchester Tyrants,6,41,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-11-22,Sheffield Hallam Warriors,Stirling Clansmen,12,41,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-11-22,Bath Killer Bees,Imperial Immortals,29,8,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-11-22,Birmingham Lions,Hertfordshire Hurricanes,32,12,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Scottish/Northern,2015-11-22,Northumbria Mustangs,Newcastle Raiders,7,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Scottish/Northern,2015-11-22,Glasgow Tigers,Sunderland Spartans,6,0,,,,,FALSE,day,,14:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Scottish/Northern,2015-11-22,HWU Wolverines,Teesside Cougars,0,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Southern,2015-11-22,KCL Regents,Reading Knights,6,16,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Southern,2015-11-22,Royal Holloway Bears,Solent Redhawks,20,16,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Eastern,2015-11-22,Brighton Panthers,Cambridge Pythons,12,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Eastern,2015-11-22,Sussex Saxons,Kent Falcons,26,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Western,2015-11-22,Cardiff Cobras,Tarannau Aberystwyth,21,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 South Western,2015-11-22,UWE Bullets,Swansea Titans,8,28,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Yorkshire,2015-11-22,Hull Sharks,Huddersfield Hawks,54,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Yorkshire,2015-11-22,Sheffield Sabres,Leeds Beckett Carnegie,28,35,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Midlands,2015-11-29,Worcester Royals,Nottingham Trent Renegades,0,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Midlands,2015-11-29,Warwick Wolves,Staffordshire Stallions,27,0,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-11-29,Brunel Burners,BNU Buccaneers,56,0,,,,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 London,2015-11-29,Westminster Dragons,City Wolfpack,12,28,,,,,FALSE,day,,11:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Midlands,2015-11-29,Leicester Longhorns,Northampton Nemesis,0,7,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-29,Liverpool Raptors,Edge Hill Vikings,14,8,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-29,York Centurions,MMU Eagles,12,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Northern,2015-11-29,Manchester Tyrants,Bradford Bears,26,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-11-29,Stirling Clansmen,Durham Saints,32,10,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier North,2015-11-29,Derby Braves,Sheffield Hallam Warriors,16,0,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-11-29,Hertfordshire Hurricanes,Imperial Immortals,36,6,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Premier South,2015-11-29,Kingston Cougars,Bath Killer Bees,19,18,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Scottish/Northern,2015-11-29,Northumbria Mustangs,Glasgow Tigers,0,35,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Scottish/Northern,2015-11-29,UWS Pyros,Edinburgh Predators,0,39,,,,,FALSE,day,,12:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Southern,2015-11-29,Royal Holloway Bears,KCL Regents,32,12,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 1 Southern,2015-11-29,Surrey Stingers,Reading Knights,13,8,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 London,2015-11-29,Greenwich Mariners,LSBU Spartans,2,0,,,,,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
BUAFL,2015,Division 2 Southern,2015-11-29,Southampton Stags,Portsmouth Destroyers,8,14,,,,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
