competition_name,year,season_name,start_date,end_date,confidence_level
Budweiser League,1986,1986 Budweiser League,1986-04-01,1986-09-30,high
Budweiser League,1987,1987 Budweiser League,1987-04-01,1987-09-30,high
BAFA National League,2023,2023 BAFA Season,2023-04-01,2023-09-30,high
