name,location,founded_year,folded_year,notes
London Ravens,London,1983,,The pioneers of UK American Football
Milton Keynes Bucks,Milton Keynes,1984,1989,
Northampton Storm,Northampton,,,
Leicester Panthers,Leicester,1983,1996,
Manchester Titans,Manchester,2003,,
Tamworth Phoenix,Tamworth,2004,,
Bristol Aztecs,Bristol,1990,,
London Warriors,London,2007,,
