competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2016,National Championship,2017-03-05,Swansea Titans,Loughborough Students,9,20,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,National Championship,2017-03-05,Derby Braves,Birmingham Lions,29,22,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,National Championship,2017-03-05,Durham Saints,Hertfordshire Hurricanes,14,7,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,National Championship,2017-03-05,Bath Killer Bees,Stirling Clansmen,0,33,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,Northern Conference Cup,2017-03-05,Edinburgh Predators,Bangor MudDogs,18,23,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,Northern Conference Cup,2017-03-05,Lincoln Colonials,Edinburgh Napier Knights,7,10,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,Northern Conference Cup,2017-03-05,HWU Wolverines,Leeds Gryphons,16,41,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,Northern Conference Cup,2017-03-05,Coventry University Jets,Leicester Longhorns,1,0,,,,,FALSE,day,,,awarded,low,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,Southern Conference Cup,2017-03-05,Bristol Barracuda,Brunel Burners,15,21,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,Southern Conference Cup,2017-03-05,UCL Emperors,Canterbury CC Chargers,10,6,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,Southern Conference Cup,2017-03-05,QMBL Vipers,Gloucestershire Gladiators,2,50,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,Southern Conference Cup,2017-03-05,Southampton Stags,Plymouth Blitz,15,24,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,National Trophy,2017-03-05,Cambridge Pythons,Cardiff Cobras,12,27,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2016,National Trophy,2017-03-05,Exeter Demons,Imperial Immortals,3,6,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,National Trophy,2017-03-05,UCLan Rams,Sheffield Hallam Warriors,18,27,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2016,National Trophy,2017-03-05,Glasgow Tigers,Hull Sharks,0,20,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,National Trophy,2017-03-05,Surrey Stingers,Kent Falcons,25,9,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,National Trophy,2017-03-05,Liverpool Raptors,Nottingham Gold,30,47,,neither team in next round,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2016,National Trophy,2017-03-05,Reading Knights,Portsmouth Destroyers,0,28,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2016,National Trophy,2017-03-05,Leeds Beckett Carnegie,Warwick Wolves,28,18,,,,,FALSE,day,,,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2016,National Trophy,2017-03-19,Cardiff Cobras,Portsmouth Destroyers,8,10,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,National Trophy,2017-03-19,Leeds Beckett Carnegie,Sheffield Hallam Warriors,36,18,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2016,Northern Conference Cup,2017-03-19,Coventry University Jets,Leeds Gryphons,60,15,,,,,FALSE,day,,14:30,completed,high,TRUE,TRUE,bowl,Northern Conference Cup,Final,
BUAFL,2016,Southern Conference Cup,2017-03-26,Plymouth Blitz,Brunel Burners,14,26,,,,,FALSE,day,,13:00,completed,high,TRUE,TRUE,bowl,Southern Conference Cup,Final,
BUAFL,2016,National Championship,2017-03-26,Durham Saints,Stirling Clansmen,7,10,Sixways Stadium,,,,FALSE,day,,,completed,high,TRUE,TRUE,Title,National Championship,Final,
BUAFL,2016,National Trophy,2017-03-26,Leeds Beckett Carnegie,Portsmouth Destroyers,28,7,,,,,FALSE,day,,,completed,high,TRUE,TRUE,bowl,National Trophy,Final,
