competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase,away_phase
BUAFL,2007,Southern Division,2008-02-24,Brighton Tsunami,Surrey Stingers,35,6,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2008-02-17,Royal Holloway Bears,Brighton Tsunami,7,6,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,Eber Kington,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2008-02-10,Brighton Tsunami,Portsmouth Destroyers,0,10,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2008-02-03,Brighton Tsunami,Southampton Stags,0,58,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2007-12-02,Southampton Stags,Brighton Tsunami,45,0,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,Eber Kington,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2007-11-25,Reading Knights,Brighton Tsunami,23,8,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,Eber Kington,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2007-11-18,Brighton Tsunami,Royal Holloway Bears,6,13,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,Southern Division,2007-11-09,Portsmouth Destroyers,Brighton Tsunami,7,8,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/2007-08_BUAFL_Season),,Eber Kington,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,Southern Conference,
BUAFL,2007,National Championship,2008-03-02,Loughborough Aces,Newcastle Raiders,15,34,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,Midland Division
BUAFL,2007,National Championship,2008-03-02,Nottingham Outlaws,Stirling Clansmen,12,0,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,Midland Division
BUAFL,2007,National Championship,2008-03-02,Teesside Cougars,Staffordshire Stallions,6,60,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,North-East Division
BUAFL,2007,National Championship,2008-03-02,Sheffield Sabres,Leeds Celtics,12,19,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,
BUAFL,2007,National Championship,2008-03-02,Greenwich Mariners,Southampton Stags,0,43,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,Eastern Division
BUAFL,2007,National Championship,2008-03-02,Royal Holloway Bears,Bath Killer Bees,0,39,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,Southern Division
BUAFL,2007,National Championship,2008-03-02,Reading Knights,Hertfordshire Hurricanes,7,51,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,Southern Division
BUAFL,2007,National Championship,2008-03-02,UWE Bullets,Birmingham Lions,6,14,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,round_1,,Western Division
BUAFL,2007,National Championship,2008-03-09,Nottingham Outlaws,Newcastle Raiders,0,26,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,quarter_final,,Midland Division
BUAFL,2007,National Championship,2008-03-09,Leeds Celtics,Staffordshire Stallions,0,19,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,quarter_final,,Roses Division
BUAFL,2007,National Championship,2008-03-09,Bath Killer Bees,Southampton Stags,13,35,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,quarter_final,,Western Division
BUAFL,2007,National Championship,2008-03-09,Birmingham Lions,Hertfordshire Hurricanes,24,46,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,quarter_final,,Central Division
BUAFL,2007,National Championship,2008-03-16,Staffordshire Stallions,Newcastle Raiders,20,14,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,semi_final,,Midland Division
BUAFL,2007,National Championship,2008-03-16,Hertfordshire Hurricanes,Southampton Stags,14,28,,https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,semi_final,,Eastern Division
BUAFL,2007,National Championship,2008-03-30,Staffordshire Stallions,Southampton Stags,20,52,"Keepmoat Stadium, Doncaster",https://britball.fandom.com/wiki/2007-08_BUAFL_Season,,,FALSE,day,,13:00,completed,high,TRUE,TRUE,championship,BUCS National Championship / College Bowl XXII,final,,Midland Division
