competition_name,parent_phase,phase,year,team,wins,losses,ties,points_for,points_against
BUAFL,,"Saltire Conference",2012,"Stirling Clansmen",8,0,0,0,0
BUAFL,,"Saltire Conference",2012,"Glasgow Tigers",6,2,0,0,0
BUAFL,,"Saltire Conference",2012,"Edinburgh Predators",2,4,0,0,0
BUAFL,,"Saltire Conference",2012,"UWS Pyros",2,5,0,0,0
BUAFL,,"Saltire Conference",2012,"Edinburgh Napier Knights",0,7,0,0,0
BUAFL,,"Big North Western Conference",2012,"Derby Braves",8,0,0,0,0
BUAFL,,"Big North Western Conference",2012,"Sheffield Sabres",7,1,0,0,0
BUAFL,,"Big North Western Conference",2012,"Manchester Tyrants",6,2,0,0,0
BUAFL,,"Big North Western Conference",2012,"UCLan Rams",5,3,0,0,0
BUAFL,,"Big North Western Conference",2012,"Sheffield Hallam Warriors",3,3,0,0,0
BUAFL,,"Big North Western Conference",2012,"Staffordshire Stallions",2,5,0,0,0
BUAFL,,"Big North Western Conference",2012,"LJMU Fury",2,4,0,0,0
BUAFL,,"Big North Western Conference",2012,"Lancaster Bombers",2,5,0,0,0
BUAFL,,"Big North Western Conference",2012,"Huddersfield Hawks",2,6,0,0,0
BUAFL,,"Big North Western Conference",2012,"MMU Eagles",2,6,0,0,0
BUAFL,,"Big North Western Conference",2012,"Bangor MudDogs",1,5,0,0,0
BUAFL,,"North Eastern Conference",2012,"Hull Sharks",7,0,0,0,0
BUAFL,,"North Eastern Conference",2012,"Leeds Met Carnegie",6,2,0,0,0
BUAFL,,"North Eastern Conference",2012,"Newcastle Raiders",5,3,0,0,0
BUAFL,,"North Eastern Conference",2012,"Bradford Bears",4,4,0,0,0
BUAFL,,"North Eastern Conference",2012,"Leeds Celtics",4,3,0,0,0
BUAFL,,"North Eastern Conference",2012,"Sunderland Spartans",3,4,0,0,0
BUAFL,,"North Eastern Conference",2012,"Northumbria Mustangs",2,5,0,104,114
BUAFL,,"North Eastern Conference",2012,"Durham Saints",2,3,0,0,0
BUAFL,,"North Eastern Conference",2012,"Teesside Cougars",1,6,0,0,0
BUAFL,,"North Eastern Conference",2012,"York Centurions",1,5,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Birmingham Lions",8,0,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Loughborough Aces",7,1,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Nottingham Trent Renegades",6,2,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Warwick Wolves",6,1,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Coventry University Jets",3,3,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Northampton Nemesis",3,4,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Nottingham Outlaws",2,5,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Leicester Longhorns",2,5,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Lincoln Colonials",1,7,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"DMU Falcons",1,6,0,0,0
BUAFL,,"Midlands Athletics Conference",2012,"Wolverhampton Wildcats",0,5,0,0,0
BUAFL,,"Western Conference",2012,"Bath Killer Bees",8,0,0,0,0
BUAFL,,"Western Conference",2012,"Gloucestershire Gladiators",6,2,0,0,0
BUAFL,,"Western Conference",2012,"UWE Bullets",6,1,0,0,0
BUAFL,,"Western Conference",2012,"Swansea Titans",5,3,0,0,0
BUAFL,,"Western Conference",2012,"Plymouth Blitz",4,3,0,0,0
BUAFL,,"Western Conference",2012,"Exeter Demons",3,5,0,0,0
BUAFL,,"Western Conference",2012,"Tarannau Aberystwyth",3,3,0,0,0
BUAFL,,"Western Conference",2012,"Bristol Barracuda",2,5,0,0,0
BUAFL,,"Western Conference",2012,"Cardiff Cobras",1,4,0,0,0
BUAFL,,"Western Conference",2012,"Bath Spa Bulldogs",0,6,0,0,0
BUAFL,,"Western Conference",2012,"Worcester Royals",0,5,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Hertfordshire Hurricanes",8,0,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Cambridge Pythons",5,1,0,0,0
BUAFL,,"South Eastern A Conference",2012,"UEA Pirates",4,2,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Kent Falcons",3,1,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Essex Blades",3,2,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Imperial Immortals",3,2,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Westminster Dragons",2,3,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Canterbury CC Chargers",2,4,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Anglia Ruskin Rhinos",1,4,0,0,0
BUAFL,,"South Eastern A Conference",2012,"Greenwich Mariners",1,6,0,0,0
BUAFL,,"South Eastern A Conference",2012,"KCL Regents",0,4,0,0,0
BUAFL,,"South Eastern A Conference",2012,"LSBU Spartans",0,3,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Portsmouth Destroyers",7,1,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Kingston Cougars",7,1,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Southampton Stags",6,2,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Brighton Tsunami",5,3,0,99,54
BUAFL,,"South Eastern B Conference",2012,"BNU Buccaneers",4,2,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Brunel Burners",4,3,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Solent Redhawks",3,5,0,163,118
BUAFL,,"South Eastern B Conference",2012,"Reading Knights",3,3,0,0,0
BUAFL,,"South Eastern B Conference",2012,"OBU Panthers",2,5,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Surrey Stingers",2,5,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Royal Holloway Bears",0,7,0,0,0
BUAFL,,"South Eastern B Conference",2012,"Oxford Lancers",0,6,0,0,0
