competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase,away_phase
BUAFL,2009,Conference 4 - South,2009-11-08,Solent Redhawks,Brighton Tsunami,20,0,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,
BUAFL,2009,Conference 4 - South,2009-11-15,Brighton Tsunami,Royal Holloway Bears,18,0,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,
BUAFL,2009,Conference 4 - South,2009-11-22,Brighton Tsunami,Southampton Stags,6,14,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,
BUAFL,2009,Conference 4 - South,2009-11-29,Imperial Immortals,Brighton Tsunami,2,33,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,
BUAFL,2009,Conference 4 - East,2009-12-13,Brighton Tsunami,UEA Pirates,10,8,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,Conference 4 - South
BUAFL,2009,Conference 4 - South,2010-01-31,Brighton Tsunami,Portsmouth Destroyers,20,30,,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,
BUAFL,2009,Conference 4 - South,2010-02-21,Anglia Ruskin Phantoms,Brighton Tsunami,14,27,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,Conference 4 - East
BUAFL,2009,Conference 4 - South,2010-02-28,Greenwich Mariners,Brighton Tsunami,26,9,Falmer Campus,Source: Brighton Tsunami historical records (Britball Wiki: https://britball.fandom.com/wiki/Brighton_Tsunami),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,Conference 4 - East
BUAFL,2009,Conference 4 - South,,Warwick Wolves,Portsmouth Destroyers,6,0,,Source: Britball Wiki (https://britball.fandom.com/wiki/Portsmouth_Destroyers),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,Conference 3 - South West
BUAFL,2009,Conference 4 - South,,Portsmouth Destroyers,Royal Holloway Bears,32,0,,Source: Britball Wiki (https://britball.fandom.com/wiki/Portsmouth_Destroyers),,,FALSE,day,,,completed,high,FALSE,FALSE,,,,,
