competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2024,Premier South,2024-10-20,Birmingham Lions,Cardiff Cobras,20,27,Cardiff University Sports Fields (3G),,,,false,day,,13:00,completed,high,false,false,,,,
BUAFL,2024,Premier North,2024-10-20,Warwick Wolves,Leeds Gryphons,28,40,West Park Leeds RUFC,,,,false,day,,15:00,completed,high,false,false,,,,
BUAFL,2024,Premier North,2024-10-20,Liverpool Raptors,Newcastle Raiders,0,8,Cochrane Park 3G Etherstone Avenue NE7 7JX,,,,false,day,,16:00,completed,high,false,false,,,,
BUAFL,2024,Premier (National),2024-10-26,Nottingham Gold,UWE Bullets,21,20,Hillside Gardens,,,,false,day,,16:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 Northern,2024-10-27,MMU Eagles,LJMU Fury,8,0,JMO Sports Park Blaguegate Playing Fields Liverpool Road Skelmersdale WN8 8BX,,,,false,day,,10:30,completed,high,false,false,,,,
BUAFL,2024,Premier (National),2024-10-27,Leeds Beckett Carnegie,Loughborough Students,6,30,Holywell Rubber Crumb,,,,false,day,,12:00,completed,high,false,false,,,,
BUAFL,2024,Premier South,2024-10-27,Portsmouth Destroyers,SGS Pride,6,21,SGS College WISE Campus,,,,false,day,,12:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 Scottish,2024-10-27,Aberdeen Bulls,Edinburgh Napier Knights,0,48,Sighthill Sports Pitches,,,,false,day,,12:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 South Eastern,2024-10-27,Kent Falcons,UEA Pirates,14,8,UEA Colney Lane Playing Fields,,,,false,day,,12:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 Southern,2024-10-27,Brighton Panthers,Reading Knights,6,2,Reading University Sports Park Whiteknights Campus Reading RG6 6UR,,,,false,day,,12:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 Mid & Yorks,2024-10-27,Nottingham Green,Leicester Longhorns,20,8,Stoughton Road Playing Fields,,,,false,day,,13:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 South Eastern,2024-10-27,Essex Blades,UCL Emperors,12,22,Finsbury Park Stadium,,,,false,day,,13:00,completed,high,false,false,,,,
BUAFL,2024,Division 2 South Western,2024-10-27,Worcester Royals,Tarannau Aberystwyth,3,14,Blaendolau Fields Aberystwyth SY23 3TL,,,,false,day,,13:00,completed,high,false,false,,,,
BUAFL,2024,Division 2 South Eastern,2024-10-27,Greenwich Mariners,Kingston Cougars,0,22,Kingston University - Tolworth Court Sports Ground Surrey KT4 7QH,,,,false,day,,13:00,completed,high,false,false,,,,
BUAFL,2024,Division 2 Southern,2024-10-27,Surrey Stingers,Solent Redhawks,43,6,Test Park,,,,false,day,,13:00,completed,high,false,false,,,,
BUAFL,2024,Division 1 South Western,2024-10-27,Southampton Stags,Bournemouth University Bobcats,0,40,Bournemouth University Sports Campus,,,,false,day,,14:00,completed,high,false,false,,,,
BUAFL,2024,Premier North,2024-10-27,Nottingham Trent Renegades,Liverpool Raptors,24,6,JMO Sports Park,,,,false,day,,14:00,completed,high,false,false,,,,
BUAFL,2024,Division 2 South Eastern,2024-10-27,QMBL Vipers,Canterbury CC Chargers,16,6,The Langton Grammar School for Boys,,,,false,day,,14:30,completed,high,false,false,,,,
BUAFL,2024,Division 1 Mid & Yorks,2024-10-27,Sheffield Hallam Warriors,Hull Sharks,32,0,3G Dual Use,,,,false,day,,14:30,completed,high,false,false,,,,
BUAFL,2024,Division 1 Northern,2024-10-27,UCLan Rams,Manchester Tyrants,50,14,Armitage Sports Centre - Outdoor,,,,false,day,,15:00,completed,high,false,false,,,,
BUAFL,2024,Premier North,2024-10-27,Newcastle Raiders,Leeds Gryphons,0,44,West Park Leeds RUFC,,,,false,day,,15:00,completed,high,false,false,,,,
