competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2017,National Championship,,Derby Braves,Stirling Clansmen,21,27,,,,,FALSE,month,Mar-18,12:00,completed,low,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,National Championship,,Durham Saints,Loughborough Students,7,0,,,,,FALSE,month,Mar-18,13:00,completed,low,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,Southern Conference Cup,2017-12-03,UCL Emperors,Brunel Burners,0,41,,Neither team in the next round,,,FALSE,,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,National Trophy,,Imperial Immortals,Cardiff Cobras,0,27,,Neither team in the next round,,,FALSE,,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,National Trophy,,Surrey Stingers,Portsmouth Destroyers,6,29,,Neither team in the next round,,,FALSE,,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,Northern Conference Cup,,Coventry University Jets,Edinburgh Napier Knights,20,13,,,,,FALSE,month,Mar-18,13:30,completed,low,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,Southern Conference Cup,,Gloucestershire Gladiators,Plymouth Blitz,14,27,,Neither team in the next round,,,FALSE,,,13:30,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,Northern Conference Cup,,Bangor MudDogs,Leeds Gryphons,9,13,,Bangor won the NCC,,,FALSE,,,14:30,anomaly,low,TRUE,FALSE,,,,
BUAFL,2017,National Trophy,,Hull Sharks,Sheffield Hallam Warriors,29,42,,,,,FALSE,month,Mar-18,15:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2017,National Trophy,,Leeds Beckett Carnegie,Nottingham Gold,28,27,,"Nott Gold in final, cannot be correct",,,FALSE,,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,Southern Conference Cup,2018-03-04,Royal Holloway Bears,Brighton Panthers,0,14,,,,Richard Cooling,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,National Trophy,2018-03-04,Hull Sharks,Edinburgh Napier Knights,0,1,,,,,FALSE,day,,13:00,awarded,low,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,Northern Conference Cup,2018-03-04,Huddersfield Hawks,Bangor MudDogs,16,20,,,,,FALSE,day,,14:00,completed,low,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,National Trophy,2018-03-04,Sheffield Sabres,UCLan Rams,19,0,,Neither team in next round,,,FALSE,day,,14:00,anomaly,low,TRUE,FALSE,,,,
BUAFL,2017,National Trophy,2018-03-04,Plymouth Blitz,UWE Bullets,0,1,,,,,FALSE,day,,14:00,awarded,low,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,National Trophy,2018-03-04,Reading Knights,Kent Falcons,7,30,,,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,National Trophy,2018-03-04,Northumbria Mustangs,Nottingham Trent Renegades,0,0,,Neither team in next round.,,,FALSE,day,,,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,National Trophy,2018-03-07,Brunel Burners,UEA Pirates,0,0,,Neither team in next round.,,,FALSE,day,,13:00,anomaly,high,TRUE,FALSE,,,,
BUAFL,2017,National Trophy,2018-03-07,Sheffield Hallam Warriors,Nottingham Gold,0,1,,,,,FALSE,day,,19:00,awarded,low,TRUE,FALSE,,,Quarter Finals,
BUAFL,2017,National Championship,2018-03-18,Leeds Beckett Carnegie,Durham Saints,0,1,,,,,FALSE,day,,13:00,awarded,low,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,National Championship,2018-03-18,Derby Braves,Stirling Clansmen,20,12,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,Northern Conference Cup,2018-03-18,Bangor MudDogs,Coventry University Jets,0,0,,,,,FALSE,day,,13:00,completed,low,TRUE,TRUE,Bowl,Northern Conference Cup,Final,
BUAFL,2017,Southern Conference Cup,2018-03-18,KCL Regents,Brighton Panthers,0,20,,,,Richard Cooling,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,Southern Conference Cup,2018-03-18,Oxford Brookes University,Southampton Stags,0,0,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,National Trophy,2018-03-18,Edinburgh Napier Knights,Nottingham Gold,0,1,,,,,FALSE,day,,13:00,awarded,low,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,Northern Conference Cup,2018-03-18,Newcastle Raiders,Manchester Tyrants,8,6,,Neither team in the next round,,,FALSE,day,,14:00,anomaly,low,TRUE,,,,,
BUAFL,2017,National Trophy,2018-03-18,UWE Bullets,Kent Falcons,26,3,,,,,FALSE,day,,14:30,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2017,National Championship,2018-03-25,Derby Braves,Durham Saints,6,17,Sixways Stadium,,,,FALSE,day,,,completed,high,TRUE,TRUE,Title,College Bowl XXXII,Final,
BUAFL,2017,National Trophy,2018-03-25,UWE Bullets,Nottingham Gold,0,43,Sixways Stadium,,,,FALSE,day,,,completed,high,TRUE,TRUE,Bowl,National Trophy,Final,
BUAFL,2017,Southern Conference Cup,2018-03-25,Southampton Stags,Brighton Panthers,14,24,,,,Richard Cooling,FALSE,day,,13:30,completed,high,TRUE,TRUE,Bowl,Southern Conference Cup,Final,
