competition_name,parent_phase,phase,year,team,wins,losses,ties,points_for,points_against,head_coach
BUAFL,Northern Conference,Scottish Division,2007,Stirling Clansmen,7,0,1,264,23,
BUAFL,Northern Conference,Scottish Division,2007,Edinburgh Napier Knights,4,3,1,94,129,
BUAFL,Northern Conference,Scottish Division,2007,Caledonian Roughriders,4,4,0,109,140,
BUAFL,Northern Conference,Scottish Division,2007,Glasgow Tigers,3,5,0,108,135,
BUAFL,Northern Conference,Scottish Division,2007,UWS Pyros,1,7,0,43,138,
BUAFL,Northern Conference,North-East Division,2007,Newcastle Raiders,8,0,0,369,74,
BUAFL,Northern Conference,North-East Division,2007,Teesside Cougars,6,2,0,152,151,
BUAFL,Northern Conference,North-East Division,2007,Sunderland Spartans,3,5,0,132,198,
BUAFL,Northern Conference,North-East Division,2007,Durham Saints,2,6,0,99,180,
BUAFL,Northern Conference,North-East Division,2007,Hull Sharks,1,7,0,81,234,
BUAFL,Northern Conference,Roses Division,2007,Leeds Celtics,7,1,0,206,7,
BUAFL,Northern Conference,Roses Division,2007,Sheffield Sabres,7,1,0,217,31,
BUAFL,Northern Conference,Roses Division,2007,Sheffield Hallam Warriors,4,4,0,242,100,
BUAFL,Northern Conference,Roses Division,2007,Lancaster Bombers,2,6,0,59,263,
BUAFL,Northern Conference,Roses Division,2007,Huddersfield Hawks,0,8,0,20,356,
BUAFL,Northern Conference,Midland Division,2007,Staffordshire Stallions,8,0,0,306,18,
BUAFL,Northern Conference,Midland Division,2007,Nottingham Outlaws,6,2,0,182,86,
BUAFL,Northern Conference,Midland Division,2007,Loughborough Aces,5,3,0,162,118,
BUAFL,Northern Conference,Midland Division,2007,Leicester Longhorns,3,5,0,106,175,
BUAFL,Northern Conference,Midland Division,2007,Derby Braves,1,7,0,82,238,
BUAFL,Northern Conference,Midland Division,2007,Lincoln Colonials,1,7,0,68,271,
BUAFL,Southern Conference,Central Division,2007,Birmingham Lions,8,0,0,282,33,
BUAFL,Southern Conference,Central Division,2007,Oxford Cavaliers,4,4,0,123,121,
BUAFL,Southern Conference,Central Division,2007,Warwick Wolves,2,5,1,36,151,
BUAFL,Southern Conference,Central Division,2007,Tarannau Aberystwyth,1,6,1,27,157,
BUAFL,Southern Conference,Southern Division,2007,Southampton Stags,8,0,0,462,20,
BUAFL,Southern Conference,Southern Division,2007,Royal Holloway Bears,6,2,0,154,137,
BUAFL,Southern Conference,Southern Division,2007,Reading Knights,5,3,0,117,127,
BUAFL,Southern Conference,Southern Division,2007,Portsmouth Destroyers,3,5,0,60,137,
BUAFL,Southern Conference,Southern Division,2007,Brighton Tsunami,2,6,0,63,169,
BUAFL,Southern Conference,Southern Division,2007,Surrey Stingers,0,8,0,12,278,
BUAFL,Southern Conference,Eastern Division,2007,Hertfordshire Hurricanes,8,0,0,340,58,
BUAFL,Southern Conference,Eastern Division,2007,Greenwich Mariners,5,3,0,152,99,
BUAFL,Southern Conference,Eastern Division,2007,UEA Pirates,5,3,0,102,124,
BUAFL,Southern Conference,Eastern Division,2007,Essex Blades,4,4,0,164,200,
BUAFL,Southern Conference,Eastern Division,2007,Kent Falcons,2,6,0,71,155,
BUAFL,Southern Conference,Eastern Division,2007,Anglia Ruskin Rhinos,0,8,0,18,211,
BUAFL,Southern Conference,Western Division,2007,Bath Killer Bees,7,0,1,182,48,
BUAFL,Southern Conference,Western Division,2007,UWE Bullets,5,3,0,167,116,
BUAFL,Southern Conference,Western Division,2007,Cardiff Cobras,5,3,0,127,65,
BUAFL,Southern Conference,Western Division,2007,Bristol Barracuda,1,6,1,110,229,
BUAFL,Southern Conference,Western Division,2007,Plymouth Blitz,1,7,0,72,206,
